DateTime,Entries,UniqueIPs
1612627268,31413,31413
1612630859,31428,31428
1612634456,31455,31455
1612638069,31484,31484
1612641668,31511,31511
1612645269,31552,31552
1612648868,31556,31556
1612652435,31579,31579
1612656037,31586,31586
1612659635,31595,31595
1612663268,31572,31572
1612666864,31586,31586
1612670434,31572,31572
1612674039,31568,31568
1612677635,31535,31535
1612681234,31550,31550
1612684834,31542,31542
1612688438,31518,31518
1612692069,31491,31491
1612695668,31484,31484
1612699239,31503,31503
1612702861,31518,31518
1612706435,31682,31682
1612710069,31736,31736
1612713635,31814,31814
1612717239,31913,31913
1612720840,32007,32007
1612724436,32098,32098
1612728070,32441,32441
1612731635,32611,32611
1612735263,32665,32665
1612738836,32743,32743
1612742436,32791,32791
1612746037,32820,32820
1612749640,32889,32889
1612753240,32907,32907
1612756834,32948,32948
1612760459,33000,33000
1612764039,33058,33058
1612767659,33075,33075
1612771260,33125,33125
1612774839,33163,33163
1612778436,33187,33187
1612782040,33229,33229
1612785661,33286,33286
1612789239,33329,33329
1612792840,33309,33309
1612796469,33288,33288
1612800052,33284,33284
1612803660,33281,33281
1612807267,33284,33284
1612810868,33326,33326
1612814435,33384,33384
1612818038,33406,33406
1612821640,33456,33456
1612825268,33482,33482
1612828870,33520,33520
1612832459,33569,33569
1612836070,33607,33607
1612839670,33604,33604
1612843237,33594,33594
1612846839,33624,33624
1612850439,33639,33639
1612854038,33670,33670
1612857637,33679,33679
1612861268,33713,33713
1612864840,33757,33757
1612868440,33777,33777
1612872070,33843,33843
1612875638,33844,33844
1612879270,33818,33818
1612882870,33842,33842
1612886470,33844,33844
1612890069,33868,33868
1612893639,33867,33867
1612897270,33876,33876
1612900871,33878,33878
1612904470,33890,33890
1612908070,33928,33928
1612911670,33964,33964
1612915271,33969,33969
1612918840,33997,33997
1612922469,34027,34027
1612926038,34039,34039
1612929663,34091,34091
1612933261,34126,34126
1612936868,34181,34181
1612940439,34166,34166
1612944071,34081,34081
1612947640,34026,34026
1612951239,34053,34053
1612954840,34058,34058
1612958439,34075,34075
1612962035,34080,34080
1612965663,34108,34108
1612969270,34154,34154
1612972859,34155,34155
1612976469,34162,34162
1612980070,34147,34147
1612983635,34156,34156
1612987262,34183,34183
1612990865,34192,34192
1612994470,34206,34206
1612998069,34244,34244
1613001635,34247,34247
1613005256,34276,34276
1613008840,34290,34290
1613012470,34289,34289
1613016040,34311,34311
1613019668,34384,34384
1613023239,34406,34406
1613026840,34412,34412
1613030458,34429,34429
1613034039,34451,34451
1613037638,34426,34426
1613041270,34459,34459
1613044839,34530,34530
1613048470,34514,34514
1613052039,34538,34538
1613055636,34907,34907
1613059238,35036,35036
1613062838,35152,35152
1613066439,35221,35221
1613070039,35227,35227
1613073653,35234,35234
1613077270,35242,35242
1613080839,35256,35256
1613084470,35244,35244
1613088058,35274,35274
1613091664,35275,35275
1613095236,35292,35292
1613098859,35270,35270
1613102470,35247,35247
1613106069,35263,35263
1613109668,35278,35278
1613113235,35270,35270
1613116870,35316,35316
1613120457,35377,35377
1613124068,35350,35350
1613127638,35379,35379
1613131239,35378,35378
1613134835,35382,35382
1613138435,35421,35421
1613142038,35408,35408
1613145634,35498,35498
1613149234,35529,35529
1613152835,35625,35625
1613156439,35702,35702
1613160038,35766,35766
1613163661,35819,35819
1613167234,35887,35887
1613170869,35978,35978
1613174468,36013,36013
1613178035,36090,36090
1613181661,36146,36146
1613185238,36202,36202
1613188838,36228,36228
1613192470,36253,36253
1613196039,36291,36291
1613199670,36280,36280
1613203236,36330,36330
1613206862,36385,36385
1613210435,36502,36502
1613214068,36556,36556
1613217640,36608,36608
1613221268,36655,36655
1613224838,36714,36714
1613228464,36773,36773
1613232039,36809,36809
1613235664,36891,36891
1613239236,36950,36950
1613242870,37015,37015
1613246440,37039,37039
1613250034,37049,37049
1613253658,37052,37052
1613257240,37092,37092
1613260869,37125,37125
1613264434,37154,37154
1613268035,37221,37221
1613271659,37260,37260
1613275270,37319,37319
1613278870,37399,37399
1613282468,37455,37455
1613286039,37530,37530
1613289663,37553,37553
1613293263,37608,37608
1613296839,37646,37646
1613300439,37705,37705
1613304034,37752,37752
1613307639,37853,37853
1613311270,37913,37913
1613314865,38017,38017
1613318438,38219,38219
1613322064,38349,38349
1613325638,38384,38384
1613329238,38442,38442
1613332838,38382,38382
1613336470,38314,38314
1613340039,38351,38351
1613343635,38385,38385
1613347269,38493,38493
1613350864,38551,38551
1613354465,38558,38558
1613358037,38566,38566
1613361638,38609,38609
1613365240,38662,38662
1613368835,38705,38705
1613372439,38748,38748
1613376038,38787,38787
1613379640,38810,38810
1613383236,38822,38822
1613386872,38845,38845
1613390440,38895,38895
1613394036,38887,38887
1613397641,38881,38881
1613401271,38982,38982
1613404841,39013,39013
1613408473,39262,39262
1613412041,39431,39431
1613415640,39392,39392
1613419237,39422,39422
1613422842,39426,39426
1613426474,39408,39408
1613430041,39424,39424
1613433642,39476,39476
1613437242,39487,39487
1613440875,39529,39529
1613444442,39570,39570
1613448040,39632,39632
1613451639,39691,39691
1613455275,39731,39731
1613458841,39705,39705
1613462442,39808,39808
1613466037,39867,39867
1613469672,40069,40069
1613473265,40050,40050
1613476875,40188,40188
1613480474,40496,40496
1613484042,40543,40543
1613487674,40819,40819
1613491243,40974,40974
1613494863,41042,41042
1613498467,41227,41227
1613502038,41509,41509
1613505639,41538,41538
1613509241,41478,41478
1613512841,41400,41400
1613516441,41355,41355
1613520074,41359,41359
1613523674,41464,41464
1613527270,41541,41541
1613530875,41584,41584
1613534441,41649,41649
1613538068,41641,41641
1613541673,41616,41616
1613545270,41548,41548
1613548841,41479,41479
1613552475,41412,41412
1613556043,41343,41343
1613559641,41288,41288
1613563268,41227,41227
1613566838,41170,41170
1613570469,41116,41116
1613574072,41034,41034
1613577673,40976,40976
1613581273,40927,40927
1613584870,40866,40866
1613588472,40809,40809
1613592072,40757,40757
1613595642,40723,40723
1613599238,40695,40695
1613602876,40664,40664
1613606438,40667,40667
1613610075,40638,40638
1613613669,40623,40623
1613617269,40593,40593
1613620873,40587,40587
1613624470,40537,40537
1613628042,40492,40492
1613631673,40445,40445
1613635271,40417,40417
1613638842,40398,40398
1613642473,40415,40415
1613646038,40368,40368
1613649642,40275,40275
1613653241,40285,40285
1613656840,40282,40282
1613660473,39957,39957
1613664073,39770,39770
1613667641,39591,39591
1613671237,39544,39544
1613674873,39510,39510
1613678438,39486,39486
1613682072,39485,39485
1613685673,39432,39432
1613689272,39401,39401
1613692869,39374,39374
1613696467,39351,39351
1613700070,39275,39275
1613703674,39271,39271
1613707243,39263,39263
1613710842,39236,39236
1613714474,39229,39229
1613718040,39206,39206
1613721642,39152,39152
1613725274,39075,39075
1613728841,39084,39084
1613732438,39046,39046
1613736074,39031,39031
1613739643,39000,39000
1613743266,38917,38917
1613746876,38871,38871
1613750438,38753,38753
1613754075,38688,38688
1613757674,38602,38602
1613761273,38567,38567
1613764844,38507,38507
1613768477,38413,38413
1613772075,38292,38292
1613775638,38206,38206
1613779244,38131,38131
1613782876,38044,38044
1613786441,37957,37957
1613790067,37907,37907
1613793677,37857,37857
1613797243,37813,37813
1613800841,37729,37729
1613804469,37670,37670
1613808042,37580,37580
1613811644,37503,37503
1613815244,37387,37387
1613818839,37280,37280
1613822475,37179,37179
1613826041,37208,37208
1613829675,37111,37111
1613833273,37012,37012
1613836842,36900,36900
1613840444,36803,36803
1613844071,36743,36743
1613847641,36662,36662
1613851267,36582,36582
1613854843,36553,36553
1613858475,36515,36515
1613862042,36456,36456
1613865643,36409,36409
1613869271,36356,36356
1613872871,36283,36283
1613876471,36229,36229
1613880073,36151,36151
1613883675,36086,36086
1613887276,36025,36025
1613890875,35940,35940
1613894444,35885,35885
1613898043,35793,35793
1613901673,35733,35733
1613905244,35619,35619
1613908877,35509,35509
1613912443,35354,35354
1613916077,35199,35199
1613919643,35089,35089
1613923243,34994,34994
1613926839,34865,34865
1613930438,34792,34792
1613934042,34749,34749
1613937676,34681,34681
1613941271,34550,34550
1613944877,34522,34522
1613948477,34429,34429
1613952040,34301,34301
1613955639,34230,34230
1613959277,34161,34161
1613962866,34075,34075
1613966443,33961,33961
1613970077,33840,33840
1613973665,33748,33748
1613977275,33632,33632
1613980839,33544,33544
1613984442,33466,33466
1613988076,33350,33350
1613991675,33236,33236
1613995275,33065,33065
1613998864,33006,33006
1614002475,32913,32913
1614006043,32767,32767
1614009641,32704,32704
1614013243,32487,32487
1614016840,32260,32260
1614020438,32195,32195
1614024073,32146,32146
1614027673,32061,32061
1614031236,31966,31966
1614034863,31870,31870
1614038473,31796,31796
1614042042,31713,31713
1614045666,31613,31613
1614049240,31536,31536
1614052874,31408,31408
1614056464,31304,31304
1614060041,31204,31204
1614063674,31171,31171
1614067274,31033,31033
1614070872,30890,30890
1614074473,30601,30601
1614078071,30596,30596
1614081665,30356,30356
1614085241,29963,29963
