DateTime,Entries,UniqueIPs
1612672303,6769,6769
1612677696,6757,6757
1612679466,6755,6755
1612683073,6756,6756
1612688515,6764,6764
1612690269,6758,6758
1612693977,6751,6751
1612697471,6752,6752
1612702882,6748,6748
1612704665,6755,6755
1612710092,6737,6737
1612711888,6735,6735
1612715588,6736,6736
1612719070,6711,6711
1612722681,6722,6722
1612728080,6753,6753
1612731665,6704,6704
1612737068,6689,6689
1612740690,6703,6703
1612742473,6704,6704
1612744276,6717,6717
1612749667,6759,6759
1612751507,6748,6748
1612757018,6736,6736
1612758703,6729,6729
1612764083,6719,6719
1612765894,6710,6710
1612769475,6706,6706
1612773071,6731,6731
1612776674,6745,6745
1612782093,6735,6735
1612785700,6736,6736
1612787494,6749,6749
1612791082,6744,6744
1612792892,6738,6738
1612798269,6731,6731
1612801882,6696,6696
1612805470,6735,6735
1612810883,6711,6711
1612812680,6698,6698
1612814480,6703,6703
1612819875,6741,6741
1612821676,6733,6733
1612825506,6633,6633
1612830677,6780,6780
1612834271,6807,6807
1612837866,6794,6794
1612841477,6776,6776
1612845087,6763,6763
1612848666,6767,6767
1612852290,6774,6774
1612857672,6802,6802
1612859478,6798,6798
1612863067,6783,6783
1612866673,6779,6779
1612870275,6779,6779
1612873875,6673,6673
1612879332,6716,6716
1612881097,6725,6725
1612882886,6659,6659
1612884669,6725,6725
1612886487,6659,6659
1612888273,6637,6637
1612890075,6659,6659
1612891895,6652,6652
1612895482,6656,6656
1612899070,6655,6655
1612904518,6630,6630
1612911688,6632,6632
1612917065,6653,6653
1612920700,6687,6687
1612926094,6676,6676
1612927875,6672,6672
1612933305,6660,6660
1612935101,6650,6650
1612936910,6663,6663
1612938674,6650,6650
1612940466,6661,6661
1612944074,6649,6649
1612947674,6663,6663
1612949478,6649,6649
1612953076,6643,6643
1612958484,6636,6636
1612960303,6611,6611
1612963891,6620,6620
1612967500,6652,6652
1612971091,6603,6603
1612974675,6590,6590
1612976474,6543,6543
1612980131,6557,6557
1612985466,6555,6555
1612989085,6480,6480
1612992704,6482,6482
1612996306,6482,6482
1612999902,6468,6468
1613003472,6490,6490
1613007083,6525,6525
1613008877,6518,6518
1613016076,6517,6517
1613017883,6488,6488
1613023276,6487,6487
1613026878,6490,6490
1613030474,6483,6483
1613037669,6483,6483
1613039492,6491,6491
1613044879,6465,6465
1613048469,6453,6453
1613052098,6462,6462
1613053891,6455,6455
1613059270,6435,6435
1613061086,6442,6442
1613066484,6443,6443
1613068276,6444,6444
1613071873,6439,6439
1613075504,6430,6430
1613079091,6437,6437
1613082674,6445,6445
1613084477,3398,3398
1613086313,6447,6447
1613089874,6485,6485
1613093466,6523,6523
1613097069,6512,6512
1613098882,6518,6518
1613104300,6501,6501
1613106125,6493,6493
1613113284,6498,6498
1613115092,6450,6450
1613118672,6491,6491
1613122271,6492,6492
1613127671,6469,6469
1613131320,6461,6461
1613133085,6456,6456
1613136692,6455,6455
1613138574,6456,6456
1613140295,6454,6454
1613143877,6444,6444
1613147469,6440,6440
1613149398,6409,6409
1613154674,6414,6414
1613158275,6434,6434
1613161900,6393,6393
1613167283,6404,6404
1613169070,6393,6393
1613172689,6387,6387
1613176272,6427,6427
1613181673,6459,6459
1613183491,6452,6452
1613188889,6444,6444
1613192483,6436,6436
1613196080,6424,6424
1613199707,6430,6430
1613201464,6423,6423
1613206923,6429,6429
1613212265,6427,6427
1613217745,6417,6417
1613219478,6410,6410
1613223066,6412,6412
1613226683,6383,6383
1613232114,6383,6383
1613235729,6388,6388
1613237474,6379,6379
1613239270,6388,6388
1613241104,6364,6364
1613246472,6407,6407
1613251897,6409,6409
1613257349,6404,6404
1613259136,6403,6403
1613262673,6440,6440
1613266282,6484,6484
1613269909,6476,6476
1613271703,6484,6484
1613273478,6469,6469
1613277097,6454,6454
1613282482,6447,6447
1613284272,6462,6462
1613287875,6461,6461
1613291478,6462,6462
1613295085,6474,6474
1613300495,6469,6469
1613302301,6467,6467
1613305883,6455,6455
1613309470,6460,6460
1613313098,6431,6431
1613318473,6429,6429
1613320284,6428,6428
1613323877,6410,6410
1613327495,6412,6412
1613331073,6415,6415
1613334807,6406,6406
1613338294,6392,6392
1613341884,6395,6395
1613345475,6395,6395
1613350870,6431,6431
1613354469,6465,6465
1613358100,6459,6459
1613359865,6453,6453
1613365276,6440,6440
1613367069,6422,6422
1613370686,6436,6436
1613374266,6431,6431
1613376168,5697,5697
1613377909,6430,6430
1613381472,6430,6430
1613386874,6426,6426
1613388669,6425,6425
1613392280,6414,6414
1613395870,6415,6415
1613399471,6399,6399
